2007.591781,8.066,373.8
2007.673973,8.0616,378.6
2007.756164,8.0639,376.4
2007.920548,8.0678,372.1
2007.972603,8.0856,355.5
2008.081967,8.0957,347.4
2008.150273,8.0957,347.4
2008.407104,8.0694,371.1
2008.486339,8.0735,367
2008.571038,8.0635,376.9
2008.628415,8.0729,366.7
2008.778689,8.0799,361
2008.918033,8.0816,360.5
2009.057534,8.0996,344.1
2009.134247,8.1084,337
2009.326027,8.0898,354.6
2009.405479,8.0693,374.7
2009.506849,8.0676,375.3
2009.564384,8.0584,384.4
2009.632877,8.0614,381.3
2009.734247,8.0541,390.8
2009.843836,8.0667,375.7
2009.942466,8.0801,363.7
2010.189041,8.0969,347.4
2010.265753,8.0968,347.8
2010.380822,8.0839,359.9
2010.438356,8.0688,375.9
2010.520548,8.0703,373.1
2010.60274,8.0785,364.1
2010.676712,8.0691,373.2
2010.758904,8.0651,377
2010.890411,8.0715,370.4
2011.079452,8.0891,355.4
2011.164384,8.0918,351.2
2011.279452,8.0885,353.3
2011.356164,8.0797,362.9
2011.550685,8.0696,370.5
2011.663014,8.0717,369.2
2011.739726,8.0645,377
2011.846575,8.0674,373.3
2011.912329,8.0802,361.6
2011.969863,8.0811,362
2012.051913,8.0876,356.3
2012.23224,8.0905,353.5
2012.336066,8.0789,364.5
2012.415301,8.0725,370.4
2012.489071,8.0664,377.6
2012.584699,8.0563,387.1
2012.631148,8.0499,392.1
2012.70765,8.0477,394.6
2012.770492,8.0587,384.1
2012.92623,8.0697,374.7
2013.120548,8.0821,362.7
2013.180822,8.084,361.4
2013.263014,8.0822,363.7
2013.378082,8.0571,384.5
2013.484932,8.0581,385.5
2013.69863,8.0499,394.5
2013.753425,8.0633,379.5
2013.824658,8.0563,386.4
2013.906849,8.0733,370.8
2013.972603,8.0824,361.6
2014.043836,8.0817,363.4
2014.126027,8.0888,356.5
2014.178082,8.0806,362.8
2014.276712,8.0857,358.7
2014.416438,8.0751,368.2
2014.49863,8.06,383.2
2014.706849,8.0417,398.7
2014.786301,8.0516,388.6
2014.893151,8.0709,371.2
